lane,avg_priority,max_priority,avg_wait,max_wait,green_time_percent
0,0.0,0,0.0,0,100.0
1,0.0,0,0.0,0,0.0
2,0.0,0,0.0,0,0.0
3,0.0,0,0.0,0,0.0
