lane,avg_priority,max_priority,avg_wait,max_wait,green_time_percent
0,1.375,3.5,35.51667511463165,77.26983404159546,31.25
1,2.46875,10.0,36.79050189256668,76.26675605773926,0.0
2,1.03125,3.0,35.087705448269844,76.66362428665161,0.0
3,1.125,3.0,35.399588853120804,76.59958076477051,0.0
